sample-id	Name-sample	Name-experiment	Age-days	Body-site	days_since_experiment_start	group_experiment
M5171	PEYERMICE16D-INTCONT1	PEYERMICE-INTCONT1	D16	Intestinal content	16	16_IC
M5639	PEYERMICE16D-INTCONT2	PEYERMICE-INTCONT2	D16	Intestinal content	16	16_IC
M5659	PEYERMICE16D-INTCONT3	PEYERMICE-INTCONT3	D16	Intestinal content	16	16_IC
M6359	WT060218 16J CI	WT060218 CI	D16	Intestinal content	16	16_IC
M6363	WT070218 16J CI	WT070218 CI	D16	Intestinal content	16	16_IC
M6407	WT200218 19J CI	WT200218 CI	D19	Intestinal content	19	19_IC
M6928	WT100518 D19 CI 1	WT100518 CI 1	D19	Intestinal content	19	19_IC
M6932	WT100518 D19 CI 2	WT100518 CI 2	D19	Intestinal content	19	19_IC
M6367	WT060218 19J CI	WT060218 CI	D19	Intestinal content	19	19_IC
M6371	WT070218 19J CI	WT070218 CI	D19	Intestinal content	19	19_IC
M5175	PEYERMICE21D-INTCONT1	PEYERMICE-INTCONT1	D21	Intestinal content	21	21_IC
M5643	PEYERMICE21D-INTCONT2	PEYERMICE-INTCONT2	D21	Intestinal content	21	21_IC
M5663	PEYERMICE21D-INTCONT3	PEYERMICE-INTCONT3	D21	Intestinal content	21	21_IC
M6375	WT060218 21J CI	WT060218 CI	D21	Intestinal content	21	21_IC
M6379	WT070218 21J CI	WT070218 CI	D21	Intestinal content	21	21_IC
M6936	WT100518 21d CI	WT100518 CI	D21	Intestinal content	21	21_IC
M6383	WT060218 23J CI	WT060218 CI	D23	Intestinal content	23	23_IC
M6387	WT070218 23J CI	WT070218 CI	D23	Intestinal content	23	23_IC
M6411	WT190218 23J CI	WT190218 CI	D23	Intestinal content	23	23_IC
M6415	WT200218 23J CI	WT200218 CI	D23	Intestinal content	23	23_IC
M6940	WT100518 23d CI	WT100518 CI	D23	Intestinal content	23	23_IC
M5179	PEYERMICE25D-INTCONT1	PEYERMICE-INTCONT1	D25	Intestinal content	25	25_IC
M5647	PEYERMICE25D-INTCONT2	PEYERMICE-INTCONT2	D25	Intestinal content	25	25_IC
M5667	PEYERMICE25D-INTCONT3	PEYERMICE-INTCONT3	D25	Intestinal content	25	25_IC
M6391	WT060218 25J CI	WT060218 CI	D25	Intestinal content	25	25_IC
M6395	WT070218 25J CI	WT070218 CI	D25	Intestinal content	25	25_IC
M6944	WT100518 25d CI	WT100518 CI	D25	Intestinal content	25	25_IC
M5183	PEYERMICE28D-INTCONT1	PEYERMICE-INTCONT1	D28	Intestinal content	28	28_IC
M5651	PEYERMICE28D-INTCONT2	PEYERMICE-INTCONT2	D28	Intestinal content	28	28_IC
M5671	PEYERMICE28D-INTCONT3	PEYERMICE-INTCONT3	D28	Intestinal content	28	28_IC
M6399	WT060218 28J CI	WT060218 CI	D28	Intestinal content	28	28_IC
M6403	WT070218 28J CI	WT070218 CI	D28	Intestinal content	28	28_IC
M6948	WT100518 28d CI	WT100518 CI	D28	Intestinal content	28	28_IC
M5655	PEYERMICEAD-INTCONT2	PEYERMICE-INTCONT2	D49	Intestinal content	49	49_IC
M6419	WT070218 49J CI	WT070218 CI	D49	Intestinal content	49	49_IC
M6952	WT100518 49d CI	WT100518 CI	D49	Intestinal content	49	49_IC
M5679	PEYERMICEAD-INTCONT4	PEYERMICE-INTCONT4	D49	Intestinal content	49	49_IC
